frame_index,timestamp,ok,tx,ty,tz,rx,ry,rz,num_markers
1,2025-12-14T22:31:09.844211,True,-0.572521,-0.472023,3.093997,-0.809715,-0.090527,0.517529,6
2,2025-12-14T22:31:09.944464,True,-0.572656,-0.472143,3.095526,-0.809911,-0.093519,0.507186,6
3,2025-12-14T22:31:10.044942,True,-0.573071,-0.472764,3.099006,-0.816336,-0.103783,0.523414,6
4,2025-12-14T22:31:10.144663,True,-0.572653,-0.472297,3.095781,-0.819651,-0.099116,0.528633,6
5,2025-12-14T22:31:10.244306,True,-0.572097,-0.471525,3.091556,-0.821453,-0.093190,0.519844,6
6,2025-12-14T22:31:10.345622,True,-0.572160,-0.471841,3.093189,-0.815958,-0.101368,0.521274,6
7,2025-12-14T22:31:10.444790,True,-0.571053,-0.470961,3.087468,-0.815933,-0.108795,0.515026,6
8,2025-12-14T22:31:10.543435,True,-0.572417,-0.471892,3.093845,-0.819240,-0.083271,0.518874,6
9,2025-12-14T22:31:10.643335,True,-0.572597,-0.472429,3.096692,-0.815800,-0.101114,0.516515,6
10,2025-12-14T22:31:10.743803,True,-0.572639,-0.472260,3.095372,-0.810875,-0.106336,0.527488,6
11,2025-12-14T22:31:10.844550,True,-0.572067,-0.471683,3.092628,-0.812524,-0.098016,0.512282,6
12,2025-12-14T22:31:10.944288,True,-0.572653,-0.467796,3.072883,-0.742178,0.081544,0.424543,6
13,2025-12-14T22:31:11.044252,True,-0.571860,-0.471514,3.090960,-0.808799,-0.098147,0.526366,6
14,2025-12-14T22:31:11.144098,True,-0.569294,-0.469831,3.096477,-0.715196,-0.253011,0.355260,6
15,2025-12-14T22:31:11.243671,True,-0.570518,-0.470315,3.086980,-0.775149,-0.031796,0.482554,5
16,2025-12-14T22:31:11.343787,True,-0.573394,-0.473410,3.109825,-0.829341,-0.077616,0.462316,5
17,2025-12-14T22:31:11.442702,True,-0.569791,-0.471698,3.101090,-0.808678,-0.061856,0.515733,6
18,2025-12-14T22:31:11.543084,True,-0.566542,-0.468457,3.082078,-0.793597,-0.293486,0.230604,6
19,2025-12-14T22:31:11.643656,True,-0.564239,-0.464883,3.068265,-0.703442,0.122397,0.368509,5
